customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST000042,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,34.53,1100.07,0
CUST000043,Male,0,No,No,31,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,97.51,3034.27,1
CUST000044,Male,0,No,No,57,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer,32.6,1872.24,0
CUST000045,Male,0,Yes,No,12,No,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer,19.76,230.25,0
CUST000046,Female,1,Yes,No,44,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer,18.0,792.41,0
CUST000047,Male,0,Yes,No,38,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer,67.74,2575.5,0
CUST000048,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,77.96,1180.81,0
CUST000049,Male,0,No,No,40,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card,80.62,3063.03,0
CUST000050,Male,0,No,No,69,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,No,Two year,Yes,Mailed check,49.79,3403.39,0
CUST000051,Female,0,No,No,54,Yes,No,No,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,77.59,4165.37,0
CUST000052,Female,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,72.37,1670.6,1
CUST000053,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,One year,No,Bank transfer,105.76,4709.0,1
CUST000054,Female,0,Yes,Yes,34,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer,76.7,2624.22,1
CUST000055,Male,0,Yes,Yes,57,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,48.16,2725.9,0
CUST000056,Female,1,No,No,47,Yes,Yes,No,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,36.82,1826.24,0
CUST000057,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,71.84,668.28,0
CUST000058,Female,0,Yes,No,30,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,One year,No,Electronic check,66.32,1881.58,0
CUST000059,Male,0,No,No,39,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,46.96,1821.49,0
CUST000060,Male,0,No,No,12,Yes,No,DSL,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer,37.06,485.02,1
CUST000061,Male,0,No,No,59,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,66.86,4052.52,0
CUST000062,Female,0,Yes,No,60,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Bank transfer,70.54,4165.18,0
CUST000063,Female,0,No,No,51,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer,42.42,2161.21,0
CUST000064,Male,0,No,No,36,Yes,No,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card,18.0,583.9,0
CUST000065,Male,0,Yes,No,36,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,Two year,No,Bank transfer,129.34,4480.8,0
CUST000066,Male,1,No,No,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card,38.8,1910.07,1
CUST000067,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,73.57,4331.18,0
CUST000068,Female,1,Yes,No,1,No,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,105.01,123.2,0
CUST000069,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,22.46,414.31,0
CUST000070,Female,0,Yes,No,9,Yes,No,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,37.12,233.62,0
CUST000071,Female,0,Yes,No,16,No,No phone service,DSL,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,34.11,593.65,0
CUST000072,Male,1,No,No,29,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,81.24,2368.27,1
CUST000073,Female,1,Yes,No,0,No,No,No,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Mailed check,65.03,0.0,1
CUST000074,Female,0,Yes,No,24,Yes,No,DSL,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,106.3,2601.11,1
CUST000075,Female,0,Yes,No,32,No,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card,18.0,540.55,0
CUST000076,Male,0,No,No,4,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,50.92,307.17,0
CUST000077,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Credit card,122.94,6006.98,1
CUST000078,Male,1,Yes,No,56,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,96.9,5487.5,1
CUST000079,Female,0,Yes,Yes,33,Yes,Yes,DSL,Yes,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,25.78,767.2,0
CUST000080,Male,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Two year,No,Bank transfer,70.52,780.64,0
CUST000081,Female,0,Yes,Yes,37,Yes,Yes,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,55.8,2052.1,0
CUST000082,Female,0,Yes,No,44,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,111.25,4767.3,0
CUST000083,Female,1,No,No,52,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,77.39,4057.58,1
CUST000084,Female,1,Yes,No,31,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Two year,No,Electronic check,58.13,1805.31,0
CUST000085,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,57.63,2719.38,1
CUST000086,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,87.57,1403.79,0
CUST000087,Female,1,Yes,Yes,2,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Credit card,100.06,234.85,0
CUST000088,Female,0,No,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,76.11,2293.27,0
CUST000089,Male,0,Yes,Yes,6,No,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,30.21,246.89,1
CUST000090,Female,0,No,No,34,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card,73.94,2566.02,0
CUST000091,Female,0,No,No,40,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,46.67,1924.24,0
CUST000092,Female,0,Yes,No,29,Yes,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,103.61,3117.57,0
CUST000093,Male,0,No,No,8,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,59.95,498.94,1
CUST000094,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Mailed check,116.5,36.31,0
CUST000095,Female,0,No,Yes,4,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.39,221.33,1
CUST000096,Female,0,Yes,No,65,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,37.19,2434.78,1
CUST000097,Female,0,No,No,37,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,89.94,3265.1,0
CUST000098,Female,0,No,No,69,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.32,4696.08,0
CUST000099,Female,0,No,No,59,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,55.98,3282.21,0
CUST000100,Female,0,No,No,47,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,72.58,3428.84,0
CUST000101,Male,0,No,Yes,18,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,26.55,464.99,1
CUST000102,Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,36.74,1195.26,0
CUST000103,Male,0,No,No,46,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,97.81,4545.25,0
CUST000104,Male,1,No,Yes,12,No,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,79.21,923.74,1
CUST000105,Female,0,No,No,29,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,50.15,1379.54,0
CUST000106,Female,1,Yes,Yes,18,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,92.92,1601.45,1
CUST000107,Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card,69.44,597.05,1
CUST000108,Female,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,One year,Yes,Electronic check,99.75,4415.53,1
CUST000109,Male,0,No,Yes,49,Yes,Yes,DSL,No,No,No internet service,No,No,No internet service,Two year,Yes,Bank transfer,53.6,2657.83,1
CUST000110,Female,0,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,84.86,3662.94,0
CUST000111,Male,1,Yes,Yes,30,Yes,Yes,DSL,No,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,82.33,2494.66,1
CUST000112,Male,0,No,Yes,27,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,33.14,850.64,0
CUST000113,Female,0,No,No,31,Yes,No,DSL,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card,74.7,2388.72,0
CUST000114,Female,1,No,Yes,15,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,61.32,961.76,1
CUST000115,Female,0,Yes,Yes,42,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,25.45,1000.05,0
CUST000116,Female,0,No,No,32,Yes,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,26.52,703.22,0
CUST000117,Male,1,Yes,No,44,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,No,Electronic check,39.28,1722.03,1
CUST000118,Female,0,No,No,44,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,Yes,One year,Yes,Bank transfer,61.1,2683.91,0
CUST000119,Male,0,No,Yes,9,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,100.44,877.71,1
CUST000120,Male,1,Yes,No,48,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer,29.83,1387.0,0
CUST000121,Male,1,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer,115.35,2648.74,0
CUST000122,Male,0,No,No,58,No,No,No,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card,106.01,6069.43,1
CUST000123,Female,1,No,Yes,49,Yes,No phone service,No,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Bank transfer,33.77,1546.69,1
CUST000124,Male,0,No,No,1,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,Yes,One year,Yes,Electronic check,30.91,0.32,1
CUST000125,Female,0,Yes,Yes,0,No,No,DSL,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,63.75,0.0,0
CUST000126,Female,1,No,Yes,56,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,89.96,5065.4,1
CUST000127,Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,No,Bank transfer,56.5,1995.4,1
CUST000128,Male,0,Yes,No,48,Yes,No phone service,No,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,47.93,2353.87,1
CUST000129,Male,0,Yes,No,15,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Credit card,33.57,583.76,0
CUST000130,Female,0,No,No,18,Yes,Yes,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,84.11,1490.64,1
CUST000131,Male,0,No,Yes,28,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,104.96,2839.1,0
CUST000132,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,75.93,4876.13,0
CUST000133,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,97.47,1351.09,1
CUST000134,Male,0,Yes,Yes,49,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,No,Electronic check,91.01,4423.97,0
CUST000135,Female,0,No,Yes,15,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,76.9,1286.93,1
CUST000136,Female,1,Yes,Yes,44,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Mailed check,53.22,2330.96,1
CUST000137,Female,0,No,No,30,Yes,No,No,No,No,No,Yes,Yes,No,One year,No,Electronic check,105.58,3177.3,1
CUST000138,Female,0,Yes,No,18,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,72.79,1202.31,0
CUST000139,Male,0,Yes,No,20,Yes,No,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer,42.29,884.47,1
CUST000140,Female,0,Yes,No,24,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,62.34,1470.36,1
CUST000141,Female,0,No,No,58,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,73.1,4180.38,1
CUST000142,Female,0,No,No,52,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card,30.69,1742.69,0
CUST000143,Male,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Two year,Yes,Credit card,28.11,1787.56,0
CUST000144,Male,0,Yes,No,62,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,42.23,2659.74,0
CUST000145,Female,0,Yes,Yes,29,Yes,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,58.49,1675.61,0
CUST000146,Female,0,Yes,No,43,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,103.14,4360.59,1
CUST000147,Male,0,No,Yes,4,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card,95.22,348.37,1
CUST000148,Male,0,No,No,63,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card,44.29,2703.37,0
CUST000149,Male,0,No,Yes,28,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,93.92,2636.62,1
CUST000150,Female,0,No,Yes,67,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.58,5414.33,1
CUST000151,Male,1,No,No,27,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,43.84,1231.02,0
CUST000152,Female,0,No,Yes,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.74,0.0,1
CUST000153,Male,0,No,Yes,42,Yes,No,DSL,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,41.75,1767.95,0
CUST000154,Female,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,18.0,145.97,1
CUST000155,Female,0,No,No,16,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,41.99,882.16,1
CUST000156,Female,0,Yes,No,49,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.49,3372.67,0
CUST000157,Male,0,No,Yes,52,Yes,No,No,No,No,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer,59.71,3061.15,0
CUST000158,Female,1,No,Yes,43,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,70.93,2991.94,0
CUST000159,Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,18.0,511.97,0
CUST000160,Male,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card,44.26,1102.01,1
CUST000161,Male,0,Yes,No,25,No,No,DSL,No,Yes,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer,53.08,1188.64,0
CUST000162,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card,48.0,909.7,0
CUST000163,Female,0,No,No,23,Yes,No phone service,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card,113.13,2572.76,1
CUST000164,Female,0,No,Yes,44,Yes,Yes,No,Yes,No,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,68.71,2999.28,0
CUST000165,Male,1,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,65.21,1793.16,0
CUST000166,Male,1,Yes,No,48,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Electronic check,44.16,2227.8,0
CUST000167,Male,1,Yes,Yes,68,Yes,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.74,6470.19,0
CUST000168,Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,62.7,3256.12,0
CUST000169,Male,1,No,No,41,Yes,Yes,DSL,No,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,94.79,3896.04,0
CUST000170,Male,0,Yes,No,51,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,66.34,3470.88,1
CUST000171,Male,0,No,No,20,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card,52.19,1010.76,0
CUST000172,Male,0,Yes,Yes,63,No,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,74.35,4679.33,0
CUST000173,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,Yes,Mailed check,59.04,1293.37,0
CUST000174,Male,1,No,No,47,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,83.54,3906.59,1
CUST000175,Female,0,No,No,14,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,One year,Yes,Bank transfer,66.1,1040.5,1
CUST000176,Male,0,No,No,37,Yes,Yes,No,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,60.57,2252.62,0
CUST000177,Male,0,No,No,22,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,137.95,3035.01,0
CUST000178,Male,0,Yes,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,70.83,1004.51,0
CUST000179,Female,0,No,Yes,25,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Electronic check,84.84,2173.7,0
CUST000180,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Electronic check,41.96,236.97,1
CUST000181,Male,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card,91.09,1664.16,1
CUST000182,Male,1,Yes,Yes,25,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,18.0,422.84,1
